city,district,facility_name,x_coordinate,y_coordinate,longitude,latitude
臺北市,中正區,捷運西門站-出口2,301298.2490000011,2770466.644,121.50837182150659,25.04146499413808
臺北市,中正區,捷運西門站-出口5,301336.9949999996,2770616.832,121.50876138126758,25.042819573262058
臺北市,中正區,捷運西門站-出口3,301337.3320000009,2770509.858,121.50876073629259,25.04185380336117
臺北市,中正區,捷運西門站-出口4,301348.8659999997,2770554.967,121.50887671701616,25.04226065481182
臺北市,中正區,捷運小南門站-出口1,301445.82400000066,2769907.0249999994,121.5098133766966,25.03640775607051
臺北市,中正區,捷運小南門站-出口2,301459.0600000005,2769829.6800000006,121.50994165072278,25.03570903694699
臺北市,中正區,捷運萬大線-植物園站(興建中),301512.9319999995,2769299.654000001,121.51045568645824,25.03092213877321
臺北市,中正區,捷運小南門站-出口3,301570.334000001,2769787.2990000006,121.51104271814518,25.035322634339153
臺北市,中正區,捷運小南門站-出口4,301604.73800000094,2769779.892,121.51138336097154,25.035254591332315
臺北市,中正區,捷運臺大醫院站-出口1,302047.8360000011,2770425.188,121.51579851760847,25.0410651293082
臺北市,中正區,捷運中正紀念堂站-出口7,302063.2859999989,2769708.0480000004,121.5159245399887,25.034590279982176
臺北市,中正區,捷運臺北車站-出口M5,302089.8799999995,2771055.709,121.51623899613055,25.046756001532035
臺北市,中正區,捷運臺大醫院站-出口4,302100.933999999,2770641.0780000007,121.51633286753848,25.043012348758925
臺北市,中正區,捷運中正紀念堂站-出口6,302122.7050000011,2769842.766,121.51651843044472,25.035804464979016
臺北市,中正區,捷運臺大醫院站-出口2,302129.0649999996,2770443.453,121.51660416895349,25.041227228512085
臺北市,中正區,捷運臺大醫院站-出口3,302138.63700000104,2770630.2949999995,121.51670609347599,25.042913701309057
臺北市,中正區,捷運臺北車站-出口M6,302144.7709999996,2770980.128,121.51678011811467,25.046071768151677
臺北市,中正區,捷運中正紀念堂站-出口5,302185.23900000093,2769769.786,121.5171353391185,25.035143448590443
臺北市,中正區,捷運臺北車站-出口M4,302197.8770000006,2771027.539,121.51730820352897,25.046497960950717
臺北市,中正區,捷運臺北車站-出口M8,302223.3849999998,2770960.68,121.51755845908387,25.045893480331603
臺北市,中正區,捷運中正紀念堂站-出口1,302235.73200000083,2769568.926,121.51762807957579,25.03332834834665
臺北市,中正區,捷運臺北車站-出口M3,302247.7380000001,2771011.5789999994,121.51780173098396,25.04635215330206
臺北市,中正區,捷運中正紀念堂站-出口4,302271.2117999997,2769592.906,121.5179805630584,25.033543614161047
臺北市,中正區,捷運中正紀念堂站-出口2,302290.4519999994,2769487.031,121.51816720239543,25.032587113036058
臺北市,中正區,捷運臺北車站-出口M1,302298.1060000013,2771219.286,121.51830877108871,25.04822558195366
臺北市,中正區,捷運臺北車站-出口M7,302326.3939999993,2770988.1910000006,121.51858033874498,25.04613828853499
臺北市,中正區,捷運中正紀念堂站-出口3,302361.77800000017,2769451.2329999995,121.51887261836919,25.032261463839333
臺北市,中正區,捷運臺北車站-出口M2,302363.2680000009,2771205.4569999995,121.51895402308598,25.04809847983423
臺北市,中正區,捷運古亭站-出口7,302654.6819999996,2768943.921,121.52175565131006,25.027671304843498
臺北市,中正區,捷運古亭站-出口8,302663.5890000001,2768880.4229999995,121.52184148359304,25.027097736772276
臺北市,中正區,捷運古亭站-出口9,302717.8390000001,2768851.558,121.52237792396392,25.026835256207757
臺北市,中正區,捷運善導寺站-出口2,302773.2820000009,2770834.186,121.52300317607236,25.044732413793596
臺北市,中正區,捷運古亭站-出口1,302774.36199999927,2768770.1150000007,121.5229348727155,25.026098021738935
臺北市,中正區,捷運善導寺站-出口1,302783.7110000004,2770867.064,121.52310778733494,25.045028870873512
臺北市,中正區,捷運古亭站-出口2,302810.89399999904,2768717.634,121.52329484287714,25.025622950819965
臺北市,中正區,捷運善導寺站-出口3,302836.1800000004,2770806.974,121.52362545517649,25.044484549623217
臺北市,中正區,捷運善導寺站-出口4,302899.3640000009,2770773.025,121.5242503073964,25.04417585158253
臺北市,中正區,捷運善導寺站-出口5,302949.6479999999,2770788.0240000007,121.5247491983846,25.04430950256765
臺北市,中正區,捷運善導寺站-出口6,302955.46800000087,2770822.4999999995,121.52480819947881,25.044620546386714
臺北市,中正區,捷運臺電大樓站-出口4,303228.72400000057,2768214.342,121.52741549904101,25.02106461363872
臺北市,中正區,捷運東門站-出口2,303240.9090000002,2769667.0860000006,121.52759230443307,25.034179506867748
臺北市,中正區,捷運臺電大樓站-出口5,303269.50200000097,2768170.3490000004,121.52781783493884,25.020666012152706
臺北市,中正區,捷運東門站-出口1,303279.635000001,2769662.122,121.5279758561688,25.034133329263238
臺北市,中正區,捷運臺電大樓站-出口1,303362.67100000026,2768062.583000001,121.52873679617456,25.019689823525816
臺北市,中正區,捷運東門站-出口8,303377.34,2769658.859,121.52894390743258,25.034100428254817
臺北市,中正區,捷運東門站-出口7,303442.9229999988,2769638.657,121.52959299869322,25.033915731071847
臺北市,中正區,捷運東門站-出口6,303463.77800000063,2769635.508,121.52979953238493,25.033886565472688
臺北市,中正區,捷運忠孝新生站出口1,303671.4859999991,2770619.0309999995,121.53189603792606,25.042758405772336
臺北市,中正區,捷運忠孝新生站出口2,303691.79399999947,2770548.049,121.53209452251227,25.042116863923678
臺北市,中正區,捷運忠孝新生站出口5,303709.1400000006,2770433.618,121.53226195925792,25.041083171922956
臺北市,中正區,捷運公館站-出口4,303864.6529999996,2767559.0,121.53369079255523,25.015125721176343
